index,date,duration,item,network,network_type
475,29/12/14 12:09,368,call,Tesco,mobile
476,30/12/14 06:58,34.429,data,data,data
477,30/12/14 11:57,1,sms,Three,mobile
478,30/12/14 11:57,1,sms,Three,mobile
479,30/12/14 12:01,1,sms,Three,mobile
480,30/12/14 12:01,1,sms,Three,mobile
481,30/12/14 12:02,1,sms,Three,mobile
482,30/12/14 12:03,1,sms,Three,mobile
483,30/12/14 12:04,1,sms,Three,mobile
484,30/12/14 12:04,1,sms,Three,mobile
485,30/12/14 12:05,1,sms,Three,mobile
486,30/12/14 12:05,1,sms,Three,mobile
487,30/12/14 12:05,1,sms,Three,mobile
488,30/12/14 12:05,1,sms,Three,mobile
489,30/12/14 12:06,1,sms,Three,mobile
490,30/12/14 12:10,1,sms,Three,mobile
491,30/12/14 12:10,1,sms,Three,mobile
492,30/12/14 12:10,1,sms,Three,mobile
493,30/12/14 12:13,1,sms,Three,mobile
494,30/12/14 12:14,1,sms,Three,mobile
495,30/12/14 12:14,1,sms,Three,mobile
496,31/12/14 06:58,34.429,data,data,data
497,31/12/14 13:00,5,call,Meteor,mobile
498,31/12/14 13:03,358,call,Meteor,mobile
499,31/12/14 13:49,526,call,landline,landline
500,31/12/14 23:05,1,sms,Vodafone,mobile
501,31/12/14 23:37,1,sms,Vodafone,mobile
502,31/12/14 23:37,1,sms,Vodafone,mobile
503,31/12/14 23:37,1,sms,Vodafone,mobile
504,1/1/2015 6:58,34.429,data,data,data
505,2/1/2015 6:58,34.429,data,data,data
506,2/1/2015 11:27,640,call,Vodafone,mobile
507,2/1/2015 23:26,1,sms,Meteor,mobile
508,2/1/2015 23:28,1,sms,Meteor,mobile
509,3/1/2015 6:58,34.429,data,data,data
510,3/1/2015 12:01,158,call,Vodafone,mobile
511,4/1/2015 0:57,104,call,Three,mobile
512,4/1/2015 6:58,34.429,data,data,data
513,4/1/2015 14:20,3,call,Vodafone,mobile
514,4/1/2015 14:31,6,call,Vodafone,mobile
515,4/1/2015 14:32,41,call,Vodafone,mobile
516,5/1/2015 6:58,34.429,data,data,data
517,5/1/2015 9:49,56,call,landline,landline
518,5/1/2015 9:51,128,call,landline,landline
519,5/1/2015 10:10,77,call,Three,mobile
520,5/1/2015 10:25,5,call,Three,mobile
521,5/1/2015 10:25,1,sms,Three,mobile
522,5/1/2015 10:52,1,sms,Three,mobile
