,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
216,217,UFC on FX: Browne vs. Bigfoot,2012-10-05,Target Center,7049.0,Minneapolis,Minnesota,U.S.,5,10,2012,Friday
217,218,UFC 153: Silva vs. Bonnar,2012-10-13,HSBC Arena,16844.0,Rio de Janeiro,Brazil,,13,10,2012,Saturday
218,219,UFC on Fuel TV: Franklin vs. Le,2012-11-10,CotaiArena,8415.0,Macau,SAR,China,10,11,2012,Saturday
219,220,UFC 154: St-Pierre vs. Condit,2012-11-17,Bell Centre,17249.0,Montreal,Quebec,Canada,17,11,2012,Saturday
220,221,UFC on Fox: Henderson vs. Diaz,2012-12-08,KeyArena,14387.0,Seattle,Washington,U.S.,8,12,2012,Saturday
221,222,UFC on FX: Sotiropoulos vs. Pearson,2012-12-15,Gold Coast Convention and Exhibition Centre,5133.0,Gold Coast,Australia,,15,12,2012,Saturday
222,223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15,Hard Rock Hotel and Casino,2500.0,Las Vegas,Nevada,U.S.,15,12,2012,Saturday
223,224,UFC 155: dos Santos vs. Velasquez 2,2012-12-29,MGM Grand Garden Arena,13561.0,Las Vegas,Nevada,U.S.,29,12,2012,Saturday
224,225,UFC on FX: Belfort vs. Bisping,2013-01-19,Ginásio do Ibirapuera,9116.0,São Paulo,Brazil,,19,1,2013,Saturday
225,226,UFC on Fox: Johnson vs. Dodson,2013-01-26,United Center,16091.0,Chicago,Illinois,U.S.,26,1,2013,Saturday
226,227,UFC 156: Aldo vs. Edgar,2013-02-02,Mandalay Bay Events Center,10275.0,Las Vegas,Nevada,U.S.,2,2,2013,Saturday
227,228,UFC on Fuel TV: Barão vs. McDonald,2013-02-16,Wembley Arena,10349.0,London,England,U.K.,16,2,2013,Saturday
228,229,UFC 157: Rousey vs. Carmouche,2013-02-23,Honda Center,13257.0,Anaheim,California,U.S.,23,2,2013,Saturday
229,230,UFC on Fuel TV: Silva vs. Stann,2013-03-03,Saitama Super Arena,14682.0,Saitama,Japan,,3,3,2013,Sunday
230,231,UFC 158: St-Pierre vs. Diaz,2013-03-16,Bell Centre,20145.0,Montreal,Quebec,Canada,16,3,2013,Saturday
231,232,UFC on Fuel TV: Mousasi vs. Latifi,2013-04-06,Ericsson Globe Arena,14506.0,Stockholm,Sweden,,6,4,2013,Saturday
232,233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,2013-04-13,Mandalay Bay Events Center,5918.0,Las Vegas,Nevada,U.S.,13,4,2013,Saturday
233,234,UFC on Fox: Henderson vs. Melendez,2013-04-20,HP Pavilion,13506.0,San Jose,California,U.S.,20,4,2013,Saturday
234,235,UFC 159: Jones vs. Sonnen,2013-04-27,Prudential Center,15227.0,Newark,New Jersey,U.S.,27,4,2013,Saturday
235,236,UFC on FX: Belfort vs. Rockhold,2013-05-18,Arena Jaraguá,7642.0,Jaraguá do Sul,Brazil,,18,5,2013,Saturday
236,237,UFC 160: Velasquez vs. Bigfoot 2,2013-05-25,MGM Grand Garden Arena,12380.0,Las Vegas,Nevada,U.S.,25,5,2013,Saturday
237,238,UFC on Fuel TV: Nogueira vs. Werdum,2013-06-08,Ginásio Paulo Sarasate,6286.0,Fortaleza,Brazil,,8,6,2013,Saturday
238,239,UFC 161: Evans vs. Henderson,2013-06-15,MTS Centre,14754.0,Winnipeg,Manitoba,Canada,15,6,2013,Saturday
239,240,UFC 162: Silva vs. Weidman,2013-07-06,MGM Grand Garden Arena,12964.0,Las Vegas,Nevada,U.S.,6,7,2013,Saturday
240,241,UFC on Fox: Johnson vs. Moraga,2013-07-27,KeyArena,8967.0,Seattle,Washington,U.S.,27,7,2013,Saturday
241,242,UFC 163: Aldo vs. Korean Zombie,2013-08-03,HSBC Arena,13873.0,Rio de Janeiro,Brazil,,3,8,2013,Saturday
242,243,UFC Fight Night: Shogun vs. Sonnen,2013-08-17,TD Garden,14181.0,Boston,Massachusetts,U.S.,17,8,2013,Saturday
243,244,UFC Fight Night: Condit vs. Kampmann 2,2013-08-28,Bankers Life Fieldhouse,6417.0,Indianapolis,Indiana,U.S.,28,8,2013,Wednesday
244,245,UFC 164: Henderson vs. Pettis,2013-08-31,BMO Harris Bradley Center,9178.0,Milwaukee,Wisconsin,U.S.,31,8,2013,Saturday
245,246,UFC Fight Night: Teixeira vs. Bader,2013-09-04,Mineirinho Arena,5126.0,Belo Horizonte,Brazil,,4,9,2013,Wednesday
246,247,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,15504.0,Toronto,Ontario,Canada,21,9,2013,Saturday
247,248,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,6621.0,Barueri,Brazil,,9,10,2013,Wednesday
248,249,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,17238.0,Houston,Texas,U.S.,19,10,2013,Saturday
249,250,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,10355.0,Manchester,England,U.K.,26,10,2013,Saturday
250,251,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,,Fort Campbell,Kentucky,U.S.,6,11,2013,Wednesday
251,252,UFC Fight Night: Belfort vs. Henderson 2,2013-11-09,Goiânia Arena,10565.0,Goiânia,Brazil,,9,11,2013,Saturday
252,253,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,14856.0,Las Vegas,Nevada,U.S.,16,11,2013,Saturday
253,254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,4853.0,Las Vegas,Nevada,U.S.,30,11,2013,Saturday
254,255,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,11393.0,Brisbane,Australia,,7,12,2013,Saturday
255,256,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,11573.0,Sacramento,California,U.S.,14,12,2013,Saturday
256,257,UFC 168: Weidman vs. Silva 2,2013-12-28,MGM Grand Garden Arena,15650.0,Las Vegas,Nevada,U.S.,28,12,2013,Saturday
257,258,UFC Fight Night: Saffiedine vs. Lim,2014-01-04,Marina Bay Sands,5216.0,Marina Bay,Singapore,,4,1,2014,Saturday
258,259,UFC Fight Night: Rockhold vs. Philippou,2014-01-15,Arena at Gwinnett Center,5822.0,Duluth,Georgia,U.S.,15,1,2014,Wednesday
259,260,UFC on Fox: Henderson vs. Thomson,2014-01-25,United Center,10895.0,Chicago,Illinois,U.S.,25,1,2014,Saturday
260,261,UFC 169: Barão vs. Faber 2,2014-02-01,Prudential Center,14308.0,Newark,New Jersey,U.S.,1,2,2014,Saturday
261,262,UFC Fight Night: Machida vs. Mousasi,2014-02-15,Arena Jaraguá,7511.0,Jaraguá do Sul,Brazil,,15,2,2014,Saturday
262,263,UFC 170: Rousey vs. McMann,2014-02-22,Mandalay Bay Events Center,10217.0,Las Vegas,Nevada,U.S.,22,2,2014,Saturday
263,264,The Ultimate Fighter China Finale: Kim vs. Hathaway,2014-03-01,CotaiArena,6000.0,Macau,SAR,China,1,3,2014,Saturday
264,265,UFC Fight Night: Gustafsson vs. Manuwa,2014-03-08,The O2 Arena,14604.0,London,England,U.K.,8,3,2014,Saturday
265,266,UFC 171: Hendricks vs. Lawler,2014-03-15,American Airlines Center,19324.0,Dallas,Texas,U.S.,15,3,2014,Saturday
266,267,UFC Fight Night: Shogun vs. Henderson 2,2014-03-23,Ginásio Nélio Dias,6828.0,Natal,Brazil,,23,3,2014,Sunday
267,268,UFC Fight Night: Nogueira vs. Nelson,2014-04-11,du Arena,7963.0,Abu Dhabi,United Arab Emirates,,11,4,2014,Friday
268,269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,2014-04-16,Colisée Pepsi,5029.0,Quebec City,Quebec,Canada,16,4,2014,Wednesday
269,270,UFC on Fox: Werdum vs. Browne,2014-04-19,Amway Center,17000.0,Orlando,Florida,U.S.,19,4,2014,Saturday
270,271,UFC 172: Jones vs. Teixeira,2014-04-26,Baltimore Arena,13485.0,Baltimore,Maryland,U.S.,26,4,2014,Saturday
271,272,UFC Fight Night: Brown vs. Silva,2014-05-10,U.S. Bank Arena,6143.0,Cincinnati,Ohio,U.S.,10,5,2014,Saturday
272,273,UFC 173: Barão vs. Dillashaw,2014-05-24,MGM Grand Garden Arena,11036.0,Las Vegas,Nevada,U.S.,24,5,2014,Saturday
273,274,UFC Fight Night: Muñoz vs. Mousasi,2014-05-31,O2 World,8000.0,Berlin,Germany,,31,5,2014,Saturday
274,275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,2014-05-31,Ginásio do Ibirapuera,8986.0,São Paulo,Brazil,,31,5,2014,Saturday
275,276,UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Tingley Coliseum,8775.0,Albuquerque,New Mexico,U.S.,7,6,2014,Saturday
276,277,UFC 174: Johnson vs. Bagautinov,2014-06-14,Rogers Arena,13506.0,Vancouver,British Columbia,Canada,14,6,2014,Saturday
277,278,UFC Fight Night: Te Huna vs. Marquardt,2014-06-28,Vector Arena,8089.0,Auckland,New Zealand,,28,6,2014,Saturday
278,279,UFC Fight Night: Swanson vs. Stephens,2014-06-28,AT&T Center,9227.0,San Antonio,Texas,U.S.,28,6,2014,Saturday
279,280,UFC 175: Weidman vs. Machida,2014-07-05,Mandalay Bay Events Center,10088.0,Las Vegas,Nevada,U.S.,5,7,2014,Saturday
280,281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,Mandalay Bay Events Center,6500.0,Las Vegas,Nevada,U.S.,6,7,2014,Sunday
281,282,UFC Fight Night: Cowboy vs. Miller,2014-07-16,Revel Casino Hotel,4115.0,Atlantic City,New Jersey,U.S.,16,7,2014,Wednesday
282,283,UFC Fight Night: McGregor vs. Brandão,2014-07-19,The O2,9500.0,Dublin,Ireland,,19,7,2014,Saturday
283,284,UFC on Fox: Lawler vs. Brown,2014-07-26,SAP Center,11482.0,San Jose,California,U.S.,26,7,2014,Saturday
284,285,UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Cross Insurance Center,5329.0,Bangor,Maine,U.S.,16,8,2014,Saturday
285,286,UFC Fight Night: Bisping vs. Le,2014-08-23,CotaiArena,7022.0,Macau,SAR,China,23,8,2014,Saturday
286,287,UFC Fight Night: Henderson vs. dos Anjos,2014-08-23,BOK Center,7119.0,Tulsa,Oklahoma,U.S.,23,8,2014,Saturday
287,288,UFC 177: Dillashaw vs. Soto,2014-08-30,Sleep Train Arena,11100.0,Sacramento,California,U.S.,30,8,2014,Saturday
288,289,UFC Fight Night: Jacaré vs. Mousasi,2014-09-05,Foxwoods Resort Casino,4086.0,Mashantucket,Connecticut,U.S.,5,9,2014,Friday
289,290,UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13,Ginásio Nilson Nelson,8822.0,Brasília,Brazil,,13,9,2014,Saturday
290,291,UFC Fight Night: Hunt vs. Nelson,2014-09-20,Saitama Super Arena,12395.0,Saitama,Japan,,20,9,2014,Saturday
291,292,UFC 178: Johnson vs. Cariaso,2014-09-27,MGM Grand Garden Arena,10544.0,Las Vegas,Nevada,U.S.,27,9,2014,Saturday
292,293,UFC Fight Night: Nelson vs. Story,2014-10-04,Ericsson Globe Arena,10026.0,Stockholm,Sweden,,4,10,2014,Saturday
293,294,UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04,Scotiabank Centre,10782.0,Halifax,Nova Scotia,Canada,4,10,2014,Saturday
294,295,UFC 179: Aldo vs. Mendes 2,2014-10-25,Ginásio do Maracanãzinho,11415.0,Rio de Janeiro,Brazil,,25,10,2014,Saturday
295,296,UFC Fight Night: Rockhold vs. Bisping,2014-11-08,Allphones Arena,9904.0,Sydney,Australia,,8,11,2014,Saturday
296,297,UFC Fight Night: Shogun vs. Saint Preux,2014-11-08,Ginásio Municipal Tancredo Neves,5671.0,Uberlândia,Brazil,,8,11,2014,Saturday
297,298,UFC 180: Werdum vs. Hunt,2014-11-15,Arena Ciudad de México,21000.0,Mexico City,Mexico,,15,11,2014,Saturday
298,299,UFC Fight Night: Edgar vs. Swanson,2014-11-22,Frank Erwin Center,10131.0,Austin,Texas,U.S.,22,11,2014,Saturday
299,300,UFC 181: Hendricks vs. Lawler II,2014-12-06,Mandalay Bay Events Center,9617.0,Las Vegas,Nevada,U.S.,6,12,2014,Saturday
300,301,The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,Palms Casino Resort,1800.0,Las Vegas,Nevada,U.S.,12,12,2014,Friday
301,302,UFC on Fox: dos Santos vs. Miocic,2014-12-13,U.S. Airways Center,15300.0,Phoenix,Arizona,U.S.,13,12,2014,Saturday
302,303,UFC Fight Night: Machida vs. Dollaway,2014-12-20,Ginásio José Corrêa,,Barueri,Brazil,,20,12,2014,Saturday
303,304,UFC 182: Jones vs. Cormier,2015-01-03,MGM Grand Garden Arena,11575.0,Las Vegas,Nevada,U.S.,3,1,2015,Saturday
304,305,UFC Fight Night: McGregor vs. Siver,2015-01-18,TD Garden,13828.0,Boston,Massachusetts,U.S.,18,1,2015,Sunday
305,306,UFC on Fox: Gustafsson vs. Johnson,2015-01-24,Tele2 Arena,30000.0,Stockholm,Sweden,,24,1,2015,Saturday
306,307,UFC 183: Silva vs. Diaz,2015-01-31,MGM Grand Garden Arena,13114.0,Las Vegas,Nevada,U.S.,31,1,2015,Saturday
307,308,UFC Fight Night: Henderson vs. Thatch,2015-02-14,1stBank Center,5807.0,Broomfield,Colorado,U.S.,14,2,2015,Saturday
308,309,UFC Fight Night: Bigfoot vs. Mir,2015-02-22,Ginásio Gigantinho,5080.0,Porto Alegre,Brazil,,22,2,2015,Sunday
309,310,UFC 184: Rousey vs. Zingano,2015-02-28,Staples Center,17654.0,Los Angeles,California,U.S.,28,2,2015,Saturday
310,311,UFC 185: Pettis vs. dos Anjos,2015-03-14,American Airlines Center,17160.0,Dallas,Texas,U.S.,14,3,2015,Saturday
311,312,UFC Fight Night: Maia vs. LaFlare,2015-03-21,Ginásio do Maracanãzinho,7707.0,Rio de Janeiro,Brazil,,21,3,2015,Saturday
312,313,UFC Fight Night: Mendes vs. Lamas,2015-04-04,Patriot Center,5417.0,Fairfax,Virginia,U.S.,4,4,2015,Saturday
313,314,UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11,Tauron Arena Kraków,10000.0,Kraków,Poland,,11,4,2015,Saturday
314,315,UFC on Fox: Machida vs. Rockhold,2015-04-18,Prudential Center,13306.0,Newark,New Jersey,U.S.,18,4,2015,Saturday
315,316,UFC 186: Johnson vs. Horiguchi,2015-04-25,Bell Centre,10154.0,Montreal,Quebec,Canada,25,4,2015,Saturday
316,317,UFC Fight Night: Miocic vs. Hunt,2015-05-10,Adelaide Entertainment Centre,7984.0,Adelaide,Australia,,10,5,2015,Sunday
317,318,UFC Fight Night: Edgar vs. Faber,2015-05-16,Mall of Asia Arena,13446.0,Pasay,Philippines,,16,5,2015,Saturday
318,319,UFC 187: Johnson vs. Cormier,2015-05-23,MGM Grand Garden Arena,12615.0,Las Vegas,Nevada,U.S.,23,5,2015,Saturday
319,320,UFC Fight Night: Condit vs. Alves,2015-05-30,Goiânia Arena,3500.0,Goiânia,Brazil,,30,5,2015,Saturday
320,321,UFC Fight Night: Boetsch vs. Henderson,2015-06-06,Smoothie King Center,6231.0,New Orleans,Louisiana,U.S.,6,6,2015,Saturday
321,322,UFC 188: Velasquez vs. Werdum,2015-06-13,Arena Ciudad de México,21036.0,Mexico City,Mexico,,13,6,2015,Saturday
322,323,UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20,O2 World,8155.0,Berlin,Germany,,20,6,2015,Saturday
323,324,UFC Fight Night: Machida vs. Romero,2015-06-27,Seminole Hard Rock Hotel and Casino,5604.0,Hollywood,Florida,U.S.,27,6,2015,Saturday
324,325,UFC 189: Mendes vs. McGregor,2015-07-11,MGM Grand Garden Arena,16019.0,Las Vegas,Nevada,U.S.,11,7,2015,Saturday
325,326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,MGM Grand Garden Arena,4844.0,Las Vegas,Nevada,U.S.,12,7,2015,Sunday
326,327,UFC Fight Night: Mir vs. Duffee,2015-07-15,Valley View Casino Center,5471.0,San Diego,California,U.S.,15,7,2015,Wednesday
327,328,UFC Fight Night: Bisping vs. Leites,2015-07-18,The SSE Hydro,10451.0,Glasgow,Scotland,U.K.,18,7,2015,Saturday
328,329,UFC on Fox: Dillashaw vs. Barão 2,2015-07-25,United Center,11663.0,Chicago,Illinois,U.S.,25,7,2015,Saturday
329,330,UFC 190: Rousey vs. Correia,2015-08-01,HSBC Arena,14723.0,Rio de Janeiro,Brazil,,1,8,2015,Saturday
330,331,UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,Bridgestone Arena,7539.0,Nashville,Tennessee,U.S.,8,8,2015,Saturday
331,332,UFC Fight Night: Holloway vs. Oliveira,2015-08-23,SaskTel Centre,7202.0,Saskatoon,Saskatchewan,Canada,23,8,2015,Sunday
332,333,UFC 191: Johnson vs. Dodson 2,2015-09-05,MGM Grand Garden Arena,10873.0,Las Vegas,Nevada,U.S.,5,9,2015,Saturday
333,334,UFC Fight Night: Barnett vs. Nelson,2015-09-27,Saitama Super Arena,10137.0,Saitama,Japan,,27,9,2015,Sunday
334,335,UFC 192: Cormier vs. Gustafsson,2015-10-03,Toyota Center,14622.0,Houston,Texas,U.S.,3,10,2015,Saturday
335,336,UFC Fight Night: Holohan vs. Smolka,2015-10-24,3Arena,9500.0,Dublin,Ireland,,24,10,2015,Saturday
336,337,UFC Fight Night: Belfort vs. Henderson 3,2015-11-07,Ginásio do Ibirapuera,10628.0,São Paulo,Brazil,,7,11,2015,Saturday
337,338,UFC 193: Rousey vs. Holm,2015-11-15,Etihad Stadium,56214.0,Melbourne,Australia,,15,11,2015,Sunday
338,339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,2015-11-21,Arena Monterrey,10410.0,Monterrey,Mexico,,21,11,2015,Saturday
339,340,UFC Fight Night: Henderson vs. Masvidal,2015-11-28,Olympic Gymnastics Arena,12156.0,Seoul,South Korea,,28,11,2015,Saturday
340,341,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,The Chelsea at The Cosmopolitan,1643.0,Las Vegas,Nevada,U.S.,10,12,2015,Thursday
341,342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,The Chelsea at The Cosmopolitan,2566.0,Las Vegas,Nevada,U.S.,11,12,2015,Friday
342,343,UFC 194: Aldo vs. McGregor,2015-12-12,MGM Grand Garden Arena,16516.0,Las Vegas,Nevada,U.S.,12,12,2015,Saturday
343,344,UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,Amway Center,14459.0,Orlando,Florida,U.S.,19,12,2015,Saturday
344,345,UFC 195: Lawler vs. Condit,2016-01-02,MGM Grand Garden Arena,10300.0,Las Vegas,Nevada,U.S.,2,1,2016,Saturday
345,346,UFC Fight Night: Dillashaw vs. Cruz,2016-01-17,TD Garden,12022.0,Boston,Massachusetts,U.S.,17,1,2016,Sunday
346,347,UFC on Fox: Johnson vs. Bader,2016-01-30,Prudential Center,10555.0,Newark,New Jersey,U.S.,30,1,2016,Saturday
347,348,UFC Fight Night: Hendricks vs. Thompson,2016-02-06,MGM Grand Garden Arena,7422.0,Las Vegas,Nevada,U.S.,6,2,2016,Saturday
348,349,UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,Consol Energy Center,7330.0,Pittsburgh,Pennsylvania,U.S.,21,2,2016,Sunday
349,350,UFC Fight Night: Silva vs. Bisping,2016-02-27,The O2 Arena,16734.0,London,England,U.K.,27,2,2016,Saturday
350,351,UFC 196: McGregor vs. Diaz,2016-03-05,MGM Grand Garden Arena,14898.0,Las Vegas,Nevada,U.S.,5,3,2016,Saturday
351,352,UFC Fight Night: Hunt vs. Mir,2016-03-20,Brisbane Entertainment Centre,9552.0,Brisbane,Australia,,20,3,2016,Sunday
352,353,UFC Fight Night: Rothwell vs. dos Santos,2016-04-10,Arena Zagreb,13177.0,Zagreb,Croatia,,10,4,2016,Sunday
353,354,UFC on Fox: Teixeira vs. Evans,2016-04-16,Amalie Arena,11273.0,Tampa,Florida,U.S.,16,4,2016,Saturday
354,355,UFC 197: Jones vs. Saint Preux,2016-04-23,MGM Grand Garden Arena,11352.0,Las Vegas,Nevada,U.S.,23,4,2016,Saturday
355,356,UFC Fight Night: Overeem vs. Arlovski,2016-05-08,Rotterdam Ahoy,10421.0,Rotterdam,Netherlands,,8,5,2016,Sunday
356,357,UFC 198: Werdum vs. Miocic,2016-05-14,Arena da Baixada,45207.0,Curitiba,Brazil,,14,5,2016,Saturday
357,358,UFC Fight Night: Almeida vs. Garbrandt,2016-05-29,Mandalay Bay Events Center,5193.0,Las Vegas,Nevada,U.S.,29,5,2016,Sunday
358,359,UFC 199: Rockhold vs. Bisping 2,2016-06-04,The Forum,15587.0,Inglewood,California,U.S.,4,6,2016,Saturday
359,360,UFC Fight Night: MacDonald vs. Thompson,2016-06-18,TD Place Arena,10490.0,Ottawa,Ontario,Canada,18,6,2016,Saturday
360,361,UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07,MGM Grand Garden Arena,7760.0,Las Vegas,Nevada,U.S,7,7,2016,Thursday
361,362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,MGM Grand Garden Arena,8115.0,Las Vegas,Nevada,U.S,8,7,2016,Friday
362,363,UFC 200: Tate vs. Nunes,2016-07-09,T-Mobile Arena,18202.0,Las Vegas,Nevada,U.S,9,7,2016,Saturday
363,364,UFC Fight Night: McDonald vs. Lineker,2016-07-13,Denny Sanford Premier Center,5671.0,Sioux Falls,South Dakota,U.S.,13,7,2016,Wednesday
364,365,UFC on Fox: Holm vs. Shevchenko,2016-07-23,United Center,10287.0,Chicago,Illinois,U.S.,23,7,2016,Saturday
365,366,UFC 201: Lawler vs. Woodley,2016-07-30,Philips Arena,10240.0,Atlanta,Georgia,U.S.,30,7,2016,Saturday
366,367,UFC Fight Night: Rodríguez vs. Caceres,2016-08-06,Vivint Smart Home Arena,6689.0,Salt Lake City,Utah,U.S.,6,8,2016,Saturday
367,368,UFC 202: Diaz vs. McGregor 2,2016-08-20,T-Mobile Arena,15539.0,Las Vegas,Nevada,U.S,20,8,2016,Saturday
368,369,UFC on Fox: Maia vs. Condit,2016-08-27,Rogers Arena,10533.0,Vancouver,British Columbia,Canada,27,8,2016,Saturday
369,370,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Barclaycard Arena,11763.0,Hamburg,Germany,,3,9,2016,Saturday
370,371,UFC 203: Miocic vs. Overeem,2016-09-10,Quicken Loans Arena,18875.0,Cleveland,Ohio,U.S.,10,9,2016,Saturday
371,372,UFC Fight Night: Poirier vs. Johnson,2016-09-17,State Farm Arena,5624.0,Hidalgo,Texas,U.S.,17,9,2016,Saturday
372,373,UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,Ginásio Nilson Nelson,8410.0,Brasília,Brazil,,24,9,2016,Saturday
373,374,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Moda Center,6240.0,Portland,Oregon,U.S.,1,10,2016,Saturday
374,375,UFC 204: Bisping vs. Henderson 2,2016-10-08,Manchester Arena,16000.0,Manchester,England,U.K.,8,10,2016,Saturday
375,376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,2016-11-05,Arena Ciudad de México,11460.0,Mexico City,Mexico,,5,11,2016,Saturday
376,377,UFC 205: Alvarez vs. McGregor,2016-11-12,Madison Square Garden,20427.0,New York City,New York,U.S.,12,11,2016,Saturday
377,378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,The SSE Arena,7222.0,Belfast,Northern Ireland,U.K.,19,11,2016,Saturday
378,379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Ginásio do Ibirapuera,9028.0,São Paulo,Brazil,,19,11,2016,Saturday
379,380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Rod Laver Arena,13721.0,Melbourne,Australia,,27,11,2016,Sunday
380,381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Palms Casino Resort,2044.0,Las Vegas,Nevada,U.S.,3,12,2016,Saturday
381,382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Times Union Center,6216.0,Albany,New York,U.S.,9,12,2016,Friday
382,383,UFC 206: Holloway vs. Pettis,2016-12-10,Scotiabank Arena,18057.0,Toronto,Ontario,Canada,10,12,2016,Saturday
383,384,UFC on Fox: VanZant vs. Waterson,2016-12-17,Golden 1 Center,13136.0,Sacramento,California,U.S.,17,12,2016,Saturday
384,385,UFC 207: Nunes vs. Rousey,2016-12-30,T-Mobile Arena,18533.0,Las Vegas,Nevada,U.S.,30,12,2016,Friday
385,386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,Talking Stick Resort Arena,11589.0,Phoenix,Arizona,U.S.,15,1,2017,Sunday
386,387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,Pepsi Center,13233.0,Denver,Colorado,U.S.,28,1,2017,Saturday
387,388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Toyota Center,8119.0,Houston,Texas,U.S.,4,2,2017,Saturday
388,389,UFC 208: Holm vs. de Randamie,2017-02-11,Barclays Center,15628.0,Brooklyn,New York,U.S.,11,2,2017,Saturday
389,390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Scotiabank Centre,8123.0,Halifax,Nova Scotia,Canada,19,2,2017,Sunday
390,391,UFC 209: Woodley vs. Thompson 2,2017-03-04,T-Mobile Arena,13150.0,Las Vegas,Nevada,U.S.,4,3,2017,Saturday
391,392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Centro de Formação Olímpica do Nordeste,14069.0,Fortaleza,Brazil,,11,3,2017,Saturday
392,393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,The O2 Arena,15761.0,London,England,U.K.,18,3,2017,Saturday
393,394,UFC 210: Cormier vs. Johnson 2,2017-04-08,KeyBank Center,17110.0,Buffalo,New York,U.S.,8,4,2017,Saturday
394,395,UFC on Fox: Johnson vs. Reis,2017-04-15,Sprint Center,12171.0,Kansas City,Missouri,U.S.,15,4,2017,Saturday
395,396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,Bridgestone Arena,10144.0,Nashville,Tennessee,U.S.,22,4,2017,Saturday
396,397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,American Airlines Center,17834.0,Dallas,Texas,U.S.,13,5,2017,Saturday
397,398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Ericsson Globe,12668.0,Stockholm,Sweden,,28,5,2017,Sunday
398,399,UFC 212: Aldo vs. Holloway,2017-06-03,Jeunesse Arena,15412.0,Rio de Janeiro,Brazil,,3,6,2017,Saturday
399,400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,Spark Arena,8649.0,Auckland,New Zealand,,11,6,2017,Sunday
400,401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore Indoor Stadium,8414.0,Kallang,Singapore,,17,6,2017,Saturday
401,402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Chesapeake Energy Arena,7605.0,Oklahoma City,Oklahoma,U.S.,25,6,2017,Sunday
402,403,The Ultimate Fighter: Redemption Finale,2017-07-07,T-Mobile Arena,6308.0,Las Vegas,Nevada,U.S.,7,7,2017,Friday
403,404,UFC 213: Romero vs. Whittaker,2017-07-08,T-Mobile Arena,12834.0,Las Vegas,Nevada,U.S.,8,7,2017,Saturday
404,405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,The SSE Hydro,10589.0,Glasgow,Scotland,U.K.,16,7,2017,Sunday
